year	week	merge	split	transition
2016	27	0.130991505	0.66267688	0.206331615
2016	28	0.133565483	0.659573539	0.206860978
2016	29	0.126177278	0.676025996	0.197796726
2016	30	0.128244826	0.671157189	0.200597985
2016	31	0.132780314	0.658065495	0.209154191
2016	32	0.121644565	0.675862861	0.202492574
2016	33	0.123700416	0.664083554	0.212216031
2016	34	0.124148203	0.659998587	0.21585321
2016	35	0.129671719	0.656351861	0.21397642
2016	36	0.128940441	0.662800015	0.208259544
2016	37	0.124942899	0.673052127	0.202004973
2016	38	0.119670607	0.675309459	0.205019934
2016	39	0.125721878	0.660432681	0.213845441
2016	40	0.123290686	0.660092948	0.216616367
2016	41	0.120751218	0.661654447	0.217594335
2016	42	0.121886569	0.661149713	0.216963719
2016	43	0.126873866	0.64989225	0.223233884
2016	44	0.118268226	0.65600089	0.225730884
2016	45	0.119623286	0.646804435	0.23357228
2016	46	0.115782612	0.649822794	0.234394593
2016	47	0.114642342	0.658668151	0.226689507
2016	48	0.119105094	0.640787485	0.24010742
2016	49	0.117232623	0.646357998	0.236409379
2016	50	0.115499587	0.651902919	0.232597494
2016	51	0.118604768	0.644220624	0.237174607
2016	52	0.11519694	0.664533963	0.220269097
2017	1	0.118807692	0.666586918	0.214605389
2017	2	0.115903501	0.665116305	0.218980193
2017	3	0.116612791	0.668318973	0.215068236
2017	4	0.123570188	0.669432944	0.206996868
2017	5	0.119807729	0.670856849	0.209335422
2017	6	0.117212245	0.673668749	0.209119006
2017	7	0.120038339	0.685140379	0.194821282
2017	8	0.118316936	0.679594303	0.202088761
2017	9	0.109395993	0.698632462	0.191971545
2017	10	0.114961899	0.677542709	0.207495393
2017	11	0.119049971	0.697315559	0.18363447
2017	12	0.121131075	0.700920981	0.177947945
2017	13	0.121082239	0.691869923	0.187047838
2017	14	0.119441196	0.696130353	0.184428451
2017	15	0.122063533	0.690787984	0.187148483
2017	16	0.117569636	0.694782882	0.187647482
2017	17	0.116769458	0.691210212	0.19202033
2017	18	0.115332202	0.702458154	0.182209644
2017	19	0.113707339	0.703270808	0.183021853
2017	20	0.123767796	0.695227978	0.181004226
2017	21	0.123703533	0.689208446	0.187088021
2017	22	0.138493321	0.652174601	0.209332078
2017	23	0.131806768	0.666813077	0.201380155
2017	24	0.124689009	0.667524511	0.20778648
2017	25	0.125008519	0.678566155	0.196425326
2017	26	0.132589771	0.671210527	0.196199702
2017	27	0.134670777	0.679023272	0.18630595
2017	28	0.137238546	0.679289846	0.183471609
