"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"31",1081,1164,1469,2073,3163,4942,6996,9442,12096,14816,17773,21002,24659,27912,31339,34593,38214,41746,45076,48221,51304,54368,56910,59316,61839,63556,65316,66653,68122,69660,70658,71748,72805,73593,74277,74917,75470,75974,76524,76952,77204,77524,77872,78049,78214,78366,78670,78867,79013,79121,79163,79198,79226,79248,79267,79282,79290,79298,79352,79352,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"32",703,885,1184,1873,3223,5188,7392,9778,12403,15334,18340,21432,24541,27874,31384,34939,38416,41974,45194,48398,51418,54063,56453,58701,60351,62078,63867,65363,66515,67615,68707,69581,70567,71281,71788,72655,73355,73988,74496,75058,75394,75687,75910,76183,76375,76541,76714,76877,77003,77209,77407,77500,77653,77871,78003,78074,78191,78317,78454,78537,78594,78667,78732,78797,78862,78954,79020,79105,79146,79187,79210,79235,79292,79304,79352,79354,79358,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"33",1653,1808,2126,2756,3753,5109,6901,9022,11387,13722,16333,18968,21812,24976,27967,31014,34068,37563,41170,44882,48046,51183,54148,56589,58697,60364,62811,64195,65873,67367,68688,69753,71018,71581,72505,73222,73569,74212,74608,74877,75394,75667,76092,76327,76486,76713,76981,77128,77211,77284,77462,77641,77694,77812,77879,77990,78053,78117,78229,78296,78358,78421,78474,78540,78578,78620,78714,78743,78830,78860,78937,78962,78988,79010,79031,79044,79063,79081,79095,79167,79185,79202,79218,79237,79251,79266,79283,79302,79316,79325,79330,79335,79338,79341,79401,79401,79401,79401,79401,79401,79401
"34",1176,1210,1582,2172,3061,4550,6353,8584,11031,13856,16748,19973,23080,26454,29750,33364,36634,39862,43254,46773,49615,52242,54969,57922,60308,62618,64043,65689,67026,68358,69925,71137,72158,73117,73974,74758,75322,75952,76395,76721,77157,77549,77912,78161,78308,78502,78619,78673,78864,78991,79020,79179,79236,79294,79347,79351,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"35",1275,1632,1941,2898,4349,6235,8775,11578,14525,17850,21096,24760,28492,32380,36747,41087,44658,48247,51095,54329,56958,59253,61758,63771,65604,67433,69177,70595,71590,72705,73389,74302,74754,75522,75923,76485,76904,77150,77490,77807,78058,78160,78347,78408,78488,78542,78631,78719,78800,78952,79080,79101,79117,79139,79165,79233,79258,79282,79303,79323,79330,79335,79341,79342,79348,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"36",1378,1413,1867,2920,4313,6304,8773,11616,14601,17785,21373,25061,28824,32919,36822,40576,44774,47811,51208,53992,57148,59666,61643,64011,65949,67557,68806,70074,71213,72152,73017,73723,74323,74838,75509,75941,76233,76765,77074,77257,77474,77729,77917,78048,78155,78297,78341,78460,78579,78595,78605,78612,78675,78677,78688,78697,78709,78724,78738,78759,78770,78797,78819,78842,78866,78889,78925,78945,78972,78984,78994,79005,79016,79074,79082,79091,79104,79115,79132,79147,79160,79178,79198,79220,79236,79258,79286,79303,79325,79333,79337,79342,79345,79347,79401,79401,79401,79401,79401,79401,79401
"37",820,961,1274,1925,3045,4686,6827,9433,12332,15389,18737,22070,25560,28884,32582,36004,39337,42884,46194,49353,52144,54686,57144,59341,61517,63373,64885,66478,67759,68936,70046,71212,72062,72947,73630,74249,74911,75273,75650,75977,76321,76542,76781,77014,77271,77505,77712,77933,78074,78242,78290,78367,78420,78463,78543,78588,78637,78735,78799,78864,78931,78992,79058,79121,79158,79196,79219,79236,79249,79261,79353,79357,79359,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"38",1275,1541,1957,2689,4079,5868,8084,10665,13752,17050,20224,23714,27244,30665,34013,37915,41378,44956,48070,51250,54350,57258,59648,61684,63364,64873,66645,67671,68619,69821,70751,71578,72375,73111,73637,74172,74669,75068,75475,75839,76227,76412,76603,76791,77123,77366,77522,77670,77762,77888,78014,78251,78502,78544,78588,78679,78711,78758,78792,78832,78865,78909,79003,79044,79090,79134,79171,79206,79229,79250,79262,79274,79281,79341,79345,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"39",946,1075,1509,2482,3957,5940,8289,11044,13966,17464,21221,24761,28301,32300,35888,39409,42978,46417,49752,52873,55539,58518,60783,63095,64859,66506,67852,69266,70396,71504,72399,73123,73758,74312,74839,75371,75733,76298,76753,77083,77329,77557,77787,77998,78114,78216,78280,78515,78556,78806,78866,78920,78976,79027,79030,79031,79033,79035,79042,79045,79050,79056,79063,79069,79080,79085,79097,79113,79120,79130,79152,79167,79193,79218,79239,79268,79290,79306,79323,79340,79344,79347,79351,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"40",703,916,1292,1967,2999,4536,6571,9005,11720,14813,18240,21525,24871,28258,31764,35645,39178,42649,46194,49426,52631,55366,57988,60335,62728,64957,66677,68141,69546,70700,71846,72906,73843,74660,75281,75836,76127,76545,76848,77082,77352,77586,77762,77916,78058,78223,78375,78421,78564,78620,78808,78873,78893,78939,78952,78969,78988,79084,79100,79107,79119,79141,79157,79174,79188,79206,79225,79249,79278,79297,79313,79324,79335,79342,79346,79348,79356,79361,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"41",903,1074,1442,2066,3344,5259,7623,10435,13449,16777,20136,23764,27548,31149,35126,38924,42828,46479,50040,53153,56230,59017,61829,64062,66088,67948,69432,70997,72074,73241,73947,74683,75088,75773,76242,76602,76918,77107,77370,77619,77731,77842,78045,78192,78276,78409,78478,78595,78641,78688,78731,78804,78829,78890,78955,79066,79128,79148,79163,79177,79205,79230,79253,79278,79303,79317,79327,79339,79345,79349,79350,79355,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
